"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"lcross:MIR_Instrument_State:1          ","Class","MIR_Instrument_State","1.0.0.0","lcross","Class with attributes specific to the MIR instrument on LCROSS.","geo","","","","","","","","","","",""
"lcross:MIR_Instrument_State:2           lcross:instrument_gain_state:1         ","Attribute","instrument_gain_state","n/a","lcross","The instrument_gain_state specifies the instrument gain state, either High or Low. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:MIR_Instrument_State:2           lcross:instrument_gain_state:2          Value:High","Value","High","","","High"
"lcross:MIR_Instrument_State:2           lcross:instrument_gain_state:2          Value:Low","Value","Low","","","Low"
"lcross:MIR_Instrument_State:2           lcross:missing_packet_flag:1           ","Attribute","missing_packet_flag","n/a","lcross","The missing_packet_flag indicates whether the image is missing data. A missing packet appears as a horizontal bar 8 pixels high of zero data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:MIR_Instrument_State:2           lcross:missing_packet_flag:2            Value:No","Value","No","","","No packets were missed."
"lcross:MIR_Instrument_State:2           lcross:missing_packet_flag:2            Value:Yes","Value","Yes","","","Packets are missing."
"lcross:MIR_Instrument_State:2           lcross:calibration_valid:1             ","Attribute","calibration_valid","n/a","lcross","The response of the mid-IR cameras exhibited a startup transient. The calibration is valid only after this transient had settled. This attribute indicates whether the image was taken before or after this point. Values are Yes or No. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:MIR_Instrument_State:2           lcross:calibration_valid:2              Value:No","Value","No","","","Calibration is not valid."
"lcross:MIR_Instrument_State:2           lcross:calibration_valid:2              Value:Yes","Value","Yes","","","Calibration is valid."
"lcross:NIR_Instrument_State:1          ","Class","NIR_Instrument_State","1.0.0.0","lcross","Class with attributes specific to the NIR instrument on LCROSS.","geo","","","","","","","","","","",""
"lcross:NIR_Instrument_State:2           lcross:enhancement_mode:1              ","Attribute","enhancement_mode","n/a","lcross","This attribute indicates whether onboard image stretching was enabled or disabled. Values are On or Off. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:NIR_Instrument_State:2           lcross:enhancement_mode:2               Value:Off","Value","Off","","","Onboard image enhancement was disabled."
"lcross:NIR_Instrument_State:2           lcross:enhancement_mode:2               Value:On","Value","On","","","Onboard image enhancement was enabled."
"lcross:NIR_Instrument_State:2           lcross:operating_setting_value:1       ","Attribute","operating_setting_value","n/a","lcross","The operating setting value determines the integration time and gain. Values range from 0 to 15. ","geo","ASCII_Integer","0","1","0","15","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lcross:NIR_Instrument_State:2           lcross:integration_time:1              ","Attribute","integration_time","n/a","lcross","The integration time in msec. ","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","INTEGER"
"lcross:NIR_Instrument_State:2           lcross:gain_value:1                    ","Attribute","gain_value","n/a","lcross","The focal plane sensitivity in electrons per count. Value is approximate and inferred from the operating setting value and factory definitions. ","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lcross:NSP_Instrument_State:1          ","Class","NSP_Instrument_State","1.0.0.0","lcross","Class with attributes specific to the NSP instrument on LCROSS.","geo","","","","","","","","","","",""
"lcross:NSP_Instrument_State:2           lcross:saturation_flag:1               ","Attribute","saturation_flag","n/a","lcross","Indicates whether a spectra is saturated based on a mechanical test. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:NSP_Instrument_State:2           lcross:saturation_flag:2                Value:No","Value","No","","","No saturation."
"lcross:NSP_Instrument_State:2           lcross:saturation_flag:2                Value:Yes","Value","Yes","","","Saturation noted."
"lcross:NSP_Instrument_State:2           lcross:boresight_to_sun_angle:1        ","Attribute","boresight_to_sun_angle","n/a","lcross","Angle between the instrument boresight vector and the spacecraft to sun vector in degrees. ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"lcross:VSP_Instrument_State:1          ","Class","VSP_Instrument_State","1.0.0.0","lcross","Class with attributes specific to the VSP instrument on LCROSS.","geo","","","","","","","","","","",""
"lcross:VSP_Instrument_State:2           lcross:saturation_flag:1               ","Attribute","saturation_flag","n/a","lcross","Indicates whether a spectra is saturated based on a mechanical test. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:VSP_Instrument_State:2           lcross:saturation_flag:2                Value:No","Value","No","","","No saturation."
"lcross:VSP_Instrument_State:2           lcross:saturation_flag:2                Value:Yes","Value","Yes","","","Saturation noted."
"lcross:VSP_Instrument_State:2           lcross:exposure_duration:1             ","Attribute","exposure_duration","n/a","lcross","The time interval between the opening and closing of an instrument aperture. ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"lcross:VSP_Instrument_State:2           lcross:tec_setpoint:1                  ","Attribute","tec_setpoint","n/a","lcross","The setpoint temperature of the VSP thermo-electric cooler. ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lcross:VSP_Instrument_State:2           lcross:tec_temperature:1               ","Attribute","tec_temperature","n/a","lcross","The measurement temperature of the VSP thermo-electric cooler. ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lcross:VSP_Instrument_State:2           lcross:packet_timestamp:1              ","Attribute","packet_timestamp","n/a","lcross","A 32-bit unsigned integer representing time from the epoch Jan 1, 1980 in milliseconds. This counter resets every approximately 50 days. ","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lcross:VSP_Instrument_State:2           lcross:vsp_bracket_number:1            ","Attribute","vsp_bracket_number","n/a","lcross","When in bracket mode, the VSP captures three spectra in quick succession. The bracket number indicates which of the three spectra are captured.. ","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lcross:Ground_Based_Parameters:1       ","Class","Ground_Based_Parameters","1.0.0.0","lcross","Container class for ground-based observation parameters.","geo","","","","","","","","","","",""
"lcross:Ground_Based_Parameters:2        lcross:right_ascension_angle:1         ","Attribute","right_ascension_angle","n/a","lcross","The right_ascension_angle attribute provides the value of right ascension (RA) as an angle. Right ascension is measured from the vernal equinox or the first point of Aries, which is the place on the celestial sphere where the Sun crosses the celestial equator from south to north at the March equinox. Right ascension is measured continuously in a full circle from that equinox towards the east. Right ascension is used in conjunction with the declination attribute to specify a point on the sky. ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"lcross:Ground_Based_Parameters:2        lcross:declination:1                   ","Attribute","declination","n/a","lcross","The declination_angle (Dec) attribute provides the value of an angle on the celestial sphere, measured north from the celestial equator to the point in question. (For points south of the celestial equator, negative values are used.) Declination is used in conjunction with right ascension (right_ascension_angle) to specify a point on the sky.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"lcross:Ground_Based_Parameters:2        lcross:exposure_length:1               ","Attribute","exposure_length","n/a","lcross","Provides the length of time for an exposure.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"lcross:Ground_Based_Parameters:2        lcross:filter_name:1                   ","Attribute","filter_name","n/a","lcross","The commonly used name of a filter the is part of an imaging system.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:Ground_Based_Parameters:2        lcross:center_filter_wavelength:1      ","Attribute","center_filter_wavelength","n/a","lcross","The center wavelength of a filter used in an imaging system.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"lcross:Mission_Parameters:1            ","Class","Mission_Parameters","1.0.0.0","lcross","Container class for mission level attributes (i.e., common across all or most instruments) and instrument specific classes.","geo","","","","","","","","","","",""
"lcross:Mission_Parameters:2             lcross:product_type:1                  ","Attribute","product_type","n/a","lcross"," The product_type attributes identifies the type or category of a product within a data set. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:Mission_Parameters:2             lcross:product_type:2                   Value:Calibrated Data","Value","Calibrated Data","","","Calibrated data from an instrument."
"lcross:Mission_Parameters:2             lcross:product_type:2                   Value:Calibrated Image","Value","Calibrated Image","","","A radiometrically calibrated image product."
"lcross:Mission_Parameters:2             lcross:product_type:2                   Value:Calibrated Spectrum","Value","Calibrated Spectrum","","","A radiometrically calibrated spectrum product."
"lcross:Mission_Parameters:2             lcross:product_type:2                   Value:Raw Data","Value","Raw Data","","","Raw output from an instrument, usually in DN."
"lcross:Mission_Parameters:2             lcross:product_type:2                   Value:Raw Image","Value","Raw Image","","","A raw image product."
"lcross:Mission_Parameters:2             lcross:product_type:2                   Value:Raw Spectrum","Value","Raw Spectrum","","","A raw spectrum product."
"lcross:Mission_Parameters:2             lcross:producer_name:1                 ","Attribute","producer_name","n/a","lcross","The name of the person who produced the data product.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:Mission_Parameters:2             lcross:producer_institution_name:1     ","Attribute","producer_institution_name","n/a","lcross"," The producer_institution_name element identifies a university, research center, NASA center or other institution associated with the production of a data set. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:Mission_Parameters:2             lcross:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","lcross"," The mission_phase_name element provides the commonly-used identifier of a mission phase. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:Mission_Parameters:2             lcross:mission_phase_name:2             Value:Earthlook1","Value","Earthlook1","","","Earthlook1"
"lcross:Mission_Parameters:2             lcross:mission_phase_name:2             Value:Earthlook2","Value","Earthlook2","","","Earthlook2"
"lcross:Mission_Parameters:2             lcross:mission_phase_name:2             Value:Impact","Value","Impact","","","Impact"
"lcross:Mission_Parameters:2             lcross:mission_phase_name:2             Value:Mirlook","Value","Mirlook","","","Mirlook"
"lcross:Mission_Parameters:2             lcross:mission_phase_name:2             Value:Preimpact","Value","Preimpact","","","Preimpact"
"lcross:Mission_Parameters:2             lcross:mission_phase_name:2             Value:Quicklook","Value","Quicklook","","","Quicklook"
"lcross:Mission_Parameters:2             lcross:mission_phase_name:2             Value:Separation","Value","Separation","","","Separation"
"lcross:Mission_Parameters:2             lcross:mission_phase_name:2             Value:Starfield","Value","Starfield","","","Starfield"
"lcross:Mission_Parameters:2             lcross:mission_phase_name:2             Value:Swingby","Value","Swingby","","","Swingby"
"lcross:Mission_Parameters:2             lcross:spacecraft_clock_start_count:1  ","Attribute","spacecraft_clock_start_count","n/a","lcross","The spacecraft_clock_start_count attribute provides the value of the spacecraft clock at the beginning of a time period of interest. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","15","15","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:Mission_Parameters:2             lcross:spacecraft_clock_stop_count:1   ","Attribute","spacecraft_clock_stop_count","n/a","lcross","The spacecraft_clock_stop_count attribute provides the value of the spacecraft clock at the end of a time period of interest. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:Mission_Parameters:2             lcross:intercept_point_latitude:1      ","Attribute","intercept_point_latitude","n/a","lcross","The intercept_point_latitude attribute is the latitude of a point on the surface of a body.","geo","ASCII_Real","0","1","-90.0","90.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"lcross:Mission_Parameters:2             lcross:intercept_point_longitude:1     ","Attribute","intercept_point_longitude","n/a","lcross","The intercept_point_longitude attribute is the longitude of a point on the surface of a body.","geo","ASCII_Real","0","1","0.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"lcross:Mission_Parameters:2             lcross:instrument_temperature:1        ","Attribute","instrument_temperature","n/a","lcross","The instrument_temperature attribute provides the temperature, in degrees Celsius of an instrument or some part of an instrument.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lcross:Mission_Parameters:2             lcross:instrument_temperature_count:1  ","Attribute","instrument_temperature_count","n/a","lcross","The instrument_temperature_count attribute provides the temperature of an instrument in raw counts or DN values. ","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lcross:LCROSS_Parameters:1             ","Class","LCROSS_Parameters","1.0.0.0","lcross","Top level container class.","geo","","","","","","","","","","",""
